DELTA_E_AI,RECOMB_STRENGTH,RECOMB_TYPE,RECOMB_NAME,CHARGE_STATE
2594.5,0.08387306505122172,DR,K-LL,14
2615.1,8.942263081712312,DR,K-LL,14
2615.2000000000003,5.833989794343104,DR,K-LL,14
2615.3,7.844323065231654,DR,K-LL,14
2620.5,1.2809931426350412,DR,K-LL,14
2622.2,1.320278312085856,DR,K-LL,14
2622.2000000000003,5.513496907021726,TR,KL-LLL,14
2623.2999999999997,3.1832833934297984,DR,K-LL,14
2629.6,7.593242810758461,DR,K-LL,14
2635.9,4.341362444902231,TR,KL-LLL,14
2640.8,0.0,TR,KL-LLL,14
2643.2000000000003,6.71819669487475e-06,TR,KL-LLL,14
2644.4,0.00017023646894730708,QR,KLL-LLLL,14
2671.2999999999997,0.019398906657804506,TR,KL-LLL,14
2672.6,0.023809327306291126,TR,KL-LLL,14
2672.7,0.0,TR,KL-LLL,14
2673.6,0.01098953496898361,TR,KL-LLL,14
2674.5,0.007699772515299542,TR,KL-LLL,14
2674.9,0.008535858336614856,TR,KL-LLL,14
2687.1,0.08405826457752309,TR,KL-LLL,14
2691.7000000000003,0.010114688406185447,TR,KL-LLL,14
2694.2999999999997,0.16690860427320267,TR,KL-LLL,14
2695.7999999999997,0.0872878458202533,TR,KL-LLL,14
2695.9,0.08621667161349286,TR,KL-LLL,14
2705.5,0.038140570929470805,TR,KL-LLL,14
2707.8,0.05356689484892235,QR,KLL-LLLL,14
2739.7,6.2166985201254005e-06,QR,KLL-LLLL,14
2742.1,0.004465850097574015,QR,KLL-LLLL,14
2744.0,0.002812485044291935,QR,KLL-LLLL,14
2754.6,0.004009296893985565,QR,KLL-LLLL,14
2474.7,0.14553939215371578,DR,K-LL,16
2475.4,0.7523749624983027,DR,K-LL,16
2478.5,0.7897928887336285,DR,K-LL,16
2482.4,0.02547106798460446,DR,K-LL,16
2484.1,0.019329477584742898,DR,K-LL,16
2485.8,0.07908008118977511,DR,K-LL,16
2492.4,0.2947397307028849,DR,K-LL,16
2515.8,0.028444681320155183,DR,K-LL,16
2516.2,6.847853139752447,DR,K-LL,16
2516.3,12.454037846189546,DR,K-LL,16
2516.6,15.264397525282378,DR,K-LL,16
2517.9,7.002622949064314,DR,K-LL,16
2520.0,4.811843125620121,DR,K-LL,16
2531.7,4.192628150211635,DR,K-LL,16
2536.2,0.06607911694047933,DR,K-LL,16
2536.9,0.010458249618390864,TR,KL-LLL,16
2537.3,8.493585202251657,DR,K-LL,16
2538.2,0.5834931646065205,DR,K-LL,16
2540.6,3.371478145422998,DR,K-LL,16
2551.2,0.06488648517929928,DR,K-LL,16
2554.1,1.5227073399142583,DR,K-LL,16
2559.4,0.009881459381578948,TR,KL-LLL,16
2559.4,0.027310408005156866,TR,KL-LLL,16
2566.3,0.01642780065060793,TR,KL-LLL,16
2572.6,0.3053516439920822,TR,KL-LLL,16
2574.7,0.13064311020093664,TR,KL-LLL,16
2574.8,0.37557794264721645,TR,KL-LLL,16
2576.6,0.36644025417987186,TR,KL-LLL,16
2589.6,0.015343630770542242,TR,KL-LLL,16
